run_id,job_id,date,workflow,job_name,attributed_check,branch
29975578616,89106507575,2026-07-23,CI,clippy,==> clippy: kernel + user (aarch64),dependabot/cargo/tock-registers-0.10.1
29975582970,89106520516,2026-07-23,CI,clippy,==> clippy: kernel + user (aarch64),dependabot/cargo/aarch64-cpu-11.2.0
29975824065,89107227119,2026-07-23,CI,clippy,==> clippy: kernel + user (aarch64),dependabot/cargo/tock-registers-0.10.1
30177796718,89729340263,2026-07-25,CI,clippy,==> clippy: host crates + xtask,main
30178857498,89731982558,2026-07-25,CI,clippy,==> clippy: host crates + xtask,main
30179101683,89732585381,2026-07-25,CI,clippy,==> clippy: host crates + xtask,main
30179431070,89733441161,2026-07-25,CI,clippy,==> clippy: host crates + xtask,main
30180717125,89736647615,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30183642938,89744433517,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30184042340,89745472174,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30184126386,89745677633,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30184594228,89746897103,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30184992528,89747944217,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30185156530,89748382326,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30186251150,89751448492,2026-07-26,CI,clippy,==> clippy: host crates + xtask,main
30340600489,90215102505,2026-07-28,CI,clippy,==> clippy: kernel + user + user_rt (aarch64),main
30524575974,90812497305,2026-07-30,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",main
30561540317,90935538921,2026-07-30,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",main
30575582585,90982909406,2026-07-30,CI,bench (icount regression tripwire),"unattributable: not the tripwire (generic step failure, no distinguishing signal): ##[error]Process completed with exit code 1.",main
30677429032,91307481396,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30678683789,91312895485,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30678705237,91311139168,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30678945928,91311854511,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30679269026,91312844841,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30680647073,91316832751,2026-08-01,CI,"supply chain (advisories, licences, vendored integrity)",==> cargo-deny: Cargo.toml,main
30709679526,91394822247,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30713732645,91405627778,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30718851614,91419086016,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 thead-c906,main
30719213487,91420045220,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64,main
30720707024,91423890105,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,main
30721073319,91424878314,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 rva23s64,main
30723969840,91432204240,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 rva22s64,main
30724309873,91433090512,2026-08-01,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,main
30724651869,91433989512,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54 rva23s64,main
30724877901,91434571414,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54 rva22s64,main
30725607092,91436602671,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,main
30726955879,91440296274,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30728543456,91444572557,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,main
30728664533,91444882506,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,main
30728731245,91445059454,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64 thead-c906,main
30729607247,91447391325,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 sifive-u54,main
30729770579,91447830615,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva23s64,main
30732332982,91454812165,2026-08-02,CI,clippy,==> decisions,main
30732332982,91454812184,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,main
30754793359,91515007982,2026-08-02,CI,clippy,==> decisions,main
30754793359,91515007997,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,main
30755211531,91516079233,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) thead-c906,main
30755211531,91516079280,2026-08-02,CI,clippy,==> decisions,main
30756304866,91519015966,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 rva23s64,toolchain/nightly-bump
30756304866,91519015978,2026-08-02,CI,clippy,==> decisions,toolchain/nightly-bump
30757883723,91523156821,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64 rva22s64,fix/decisions-parser-and-history-debt
30760706861,91530533577,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,main
30764920845,91541800785,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rva22s64,fix/thread-leak-police
30766123119,91545069504,2026-08-02,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) sifive-u54,fix/ci-deadline-and-diagnosis
