week,model,requests,input_tokens,cache_write_5m_tokens,cache_write_1h_tokens,cache_read_tokens,output_tokens,machine_hours,peak_context_tokens
2026W34,<synthetic>,16,0,0,0,0,0,0.7,0
2026W34,claude-opus-5,11637,23274,42850191,9092650,2828865589,7445041,73.2,149581
2026W34,claude-sonnet-5,8188,16376,15913029,5957030,2616968452,4460064,36.3,933378
2026W35,<synthetic>,3,0,0,0,0,0,0.1,0
2026W35,claude-fable-5,156,312,419753,0,24896414,90800,0.6,227451
2026W35,claude-haiku-4-5-20251001,8,66,42885,0,269770,3109,0.0,42893
2026W35,claude-opus-5,3905,7810,21951890,1627153,853807810,2762466,33.3,552831
2026W35,claude-sonnet-5,18668,37336,67641748,12922301,7175587434,10076219,96.7,934006
2026W36,<synthetic>,7,0,0,0,0,0,1.1,0
2026W36,claude-opus-5,13882,27764,71642442,14873020,3505884923,3149882,131.7,999863
2026W36,claude-sonnet-5,14,28,95600,0,1060918,436,0.0,95602
2026W37,<synthetic>,3,0,0,0,0,0,0.7,0
2026W37,claude-haiku-4-5-20251001,5,42,51006,0,153758,676,0.0,51014
2026W37,claude-opus-5,871,1742,3297193,8465454,223577870,429747,9.7,998963
2026W37,claude-sonnet-5,285,570,0,2098472,92840868,195723,1.8,515939
2026W38,<synthetic>,6,0,0,0,0,0,0.6,0
2026W38,claude-fable-5-1,106,3126,2778968,0,31563528,188226,1.8,418501
2026W38,claude-opus-4-8,791,1582,2770177,3556126,282426048,906230,8.8,965051
2026W38,claude-opus-5,12325,35976,72833276,15246226,3784728357,8089618,114.5,966390
2026W38,claude-sonnet-5,20,40,131954,0,1293802,18034,0.1,81377
2026W39,<synthetic>,3,0,0,0,0,0,0.4,0
2026W39,claude-haiku-4-5-20251001,535,4310,989043,0,34729694,172353,1.3,109040
2026W39,claude-opus-5,9595,19190,38116451,6675834,2466184967,5981470,83.7,966060
2026W39,claude-sonnet-5,4018,8036,12225113,0,723067856,2262697,14.0,633063
2026W39,open-lane-kimi,125,443849,0,0,2452760,69723,0.3,40941
