week,milestones_built,milestones_partial,milestones_in_progress,milestones_removed,milestones_not_started,milestones_optional,milestones_recorded,milestones_superseded,milestones_refused,milestones_total,proposals_unnumbered
2026W29,0,0,0,0,0,0,0,0,0,0,0
2026W30,0,0,0,0,0,0,0,0,0,0,0
2026W31,26,9,1,0,16,2,2,0,0,56,0
2026W32,63,10,7,0,35,2,2,0,0,119,0
2026W33,73,14,6,0,32,2,2,0,0,129,0
2026W34,97,17,0,0,43,2,2,0,0,161,0
2026W35,103,20,0,0,62,2,2,0,0,189,0
2026W36,150,29,0,2,76,2,6,0,0,265,74
2026W37,160,29,0,2,84,2,6,0,0,283,83
2026W38,229,31,0,3,196,2,6,7,42,516,2
2026W39,258,46,0,3,216,2,6,10,43,584,20
