week,model_commits_opus_5,model_commits_opus_4_8,model_commits_sonnet_5,model_commits_fable_5,model_commits_fable_5_1,model_commits_other_models,model_commits_unattributed,model_commits_pre_convention,model_commits_merge,model_commits_total,model_lines_opus_5,model_lines_opus_4_8,model_lines_sonnet_5,model_lines_fable_5,model_lines_fable_5_1,model_lines_other_models,model_lines_unattributed,model_lines_pre_convention
2026W29,,,,,,,,61,0,61,,,,,,,,28735
2026W30,0,116,0,0,0,0,2,18,0,136,0,19901,0,0,0,0,16,1970
2026W31,341,93,0,75,0,0,20,0,91,620,90198,16180,0,34647,0,0,10220,0
2026W32,180,0,0,124,0,0,68,0,204,576,69980,0,0,27720,0,0,17481,0
2026W33,27,24,0,139,0,0,77,0,231,498,5389,1559,0,23226,0,0,9807,0
2026W34,107,0,23,0,0,0,295,0,245,670,17988,0,6775,0,0,0,62950,0
2026W35,28,0,177,0,0,0,147,0,207,559,3819,0,43377,0,0,0,22944,0
2026W36,360,0,0,0,0,0,103,0,275,738,71035,0,0,0,0,0,24123,0
2026W37,137,0,0,0,0,0,16,0,99,252,34826,0,0,0,0,0,342,0
2026W38,582,22,0,0,7,0,33,0,244,888,153013,3615,0,0,1391,0,1414,0
2026W39,261,0,18,0,0,1,71,0,142,493,64273,0,5679,0,0,8,3181,0
