old,new,commit,date
linedisc,lineedit,19ee50f2,2026-07-30
caps,capability,f628b6fb,2026-08-01
compose,compositor,f628b6fb,2026-08-01
dma_validate,dma_validator,f628b6fb,2026-08-01
capsh,grant_plan,f628b6fb,2026-08-01
lineedit,line_editor,f628b6fb,2026-08-01
measure,measured_boot,f628b6fb,2026-08-01
uheap,user_heap,f628b6fb,2026-08-01
vt,video_terminal,f628b6fb,2026-08-01
system_builder,system_initializer,14ee9890,2026-08-04
crickerfs,nifefs,5d840341,2026-08-15
isa,machine_discovery,69b987df,2026-08-23
bitfont,bitmap_font,a191d669,2026-08-23
gfx_proto,graphics_proto,a191d669,2026-08-23
sink_proto,byte_sink_proto,dd0e6d89,2026-08-23
cred_proto,credential_proto,dd0e6d89,2026-08-23
env_proto,environment_proto,dd0e6d89,2026-08-23
fs_proto,filesystem_proto,dd0e6d89,2026-08-23
slots,generational_table,4839aa6f,2026-08-23
intrusive,intrusive_fifo,4839aa6f,2026-08-23
canary_gate,memory_corruption_canary_gate,4839aa6f,2026-08-23
regions,memory_regions,4839aa6f,2026-08-23
frames,page_frames,4839aa6f,2026-08-23
wake_handshake,thread_wake_handshake,4839aa6f,2026-08-23
steal_request,work_steal_slot,4839aa6f,2026-08-23
cred,credentialer,92291429,2026-09-08
manual,documentation,f60c541c,2026-09-13
jh7110_trng,jh7110_entropy_source,95db4a3e,2026-09-13
user_heap,user_mode_heap,4a32f10b,2026-09-13
user_rt,user_mode_runtime,4a32f10b,2026-09-13
jh7110_entropy_source,jh7110_entropy,d64c5d76,2026-09-14
byte_sink_proto,byte_sink_protocol,7e536fd5,2026-09-14
capability_demo_proto,capability_demo_protocol,7e536fd5,2026-09-14
clock_proto,clock_protocol,7e536fd5,2026-09-14
credential_proto,credential_protocol,7e536fd5,2026-09-14
entropy_proto,entropy_protocol,7e536fd5,2026-09-14
environment_proto,environment_protocol,7e536fd5,2026-09-14
filesystem_proto,filesystem_protocol,7e536fd5,2026-09-14
graphics_proto,graphics_protocol,7e536fd5,2026-09-14
login_proto,login_protocol,7e536fd5,2026-09-14
mdns_config,multicast_dns_config,7e536fd5,2026-09-14
mdns_proto,multicast_dns_protocol,7e536fd5,2026-09-14
ntp_proto,network_time_protocol,7e536fd5,2026-09-14
socket_proto,socket_protocol,7e536fd5,2026-09-14
supervision_proto,supervision_protocol,7e536fd5,2026-09-14
swap_proto,swap_protocol,7e536fd5,2026-09-14
timebase_proto,timebase_protocol,7e536fd5,2026-09-14
timebase_protocol,counter_frequency_protocol,257992b5,2026-09-14
capability_demo_protocol,capability_witness_protocol,dd7d1d7d,2026-09-18
asid,address_space_identifier,bed0d16e,2026-09-18
nvme,non_volatile_memory_express,8d33e39a,2026-09-18
gpt,globally_unique_identifier_partition_table,78796e4c,2026-09-18
dtb,device_tree_blob,d4233b96,2026-09-18
ipc,inter_process_communication,6598ed31,2026-09-18
