census,run,crate,tested,caught,missed,timeout,unviable
2026-08-03,baseline,abi,29,27,1,0,1
2026-08-03,baseline,address_space_identifier,25,21,2,0,2
2026-08-03,baseline,bitmap_font,13,11,0,0,2
2026-08-03,baseline,block_roster,58,53,1,0,4
2026-08-03,baseline,byte_sink_protocol,47,43,2,0,2
2026-08-03,baseline,c_seam,25,21,1,0,3
2026-08-03,baseline,calendar,395,369,7,3,16
2026-08-03,baseline,capability,54,37,1,0,16
2026-08-03,baseline,clock_protocol,66,54,2,7,3
2026-08-03,baseline,compositor,233,209,14,0,10
2026-08-03,baseline,coremark,109,106,2,1,0
2026-08-03,baseline,cred,147,127,3,1,16
2026-08-03,baseline,credential_protocol,87,72,2,0,13
2026-08-03,baseline,device_tree_blob,325,294,1,20,10
2026-08-03,baseline,dma_validator,85,79,0,0,6
2026-08-03,baseline,elf,102,98,0,0,4
2026-08-03,baseline,entropy_protocol,23,21,2,0,0
2026-08-03,baseline,filesystem_protocol,566,489,37,9,31
2026-08-03,baseline,generational_table,44,26,5,0,13
2026-08-03,baseline,glob,135,110,14,6,5
2026-08-03,baseline,globally_unique_identifier_partition_table,465,423,5,1,36
2026-08-03,baseline,grant_plan,489,367,26,20,76
2026-08-03,baseline,graphics_protocol,132,120,6,0,6
2026-08-03,baseline,inter_process_communication,33,24,5,0,4
2026-08-03,baseline,intrusive_fifo,11,4,3,0,4
2026-08-03,baseline,line_editor,237,183,46,2,6
2026-08-03,baseline,machine_discovery,212,147,22,3,40
2026-08-03,baseline,measured_boot,137,118,9,4,6
2026-08-03,baseline,memory_regions,12,11,0,0,1
2026-08-03,baseline,network_time_protocol,186,156,16,0,14
2026-08-03,baseline,nifefs,115,107,0,0,8
2026-08-03,baseline,page_frames,109,93,3,1,12
2026-08-03,baseline,paging,312,256,39,0,17
2026-08-03,baseline,pci,122,88,27,4,3
2026-08-03,baseline,socket_protocol,17,15,2,0,0
2026-08-03,baseline,swish,58,44,3,9,2
2026-08-03,baseline,user_mode_heap,35,20,3,5,7
2026-08-03,baseline,video_terminal,301,211,79,0,11
2026-09-14,34833498873,abi,30,28,1,0,1
