week,unsafe_trust_kernel,unsafe_trust_kernel_code_lines,unsafe_trust_kernel_density,unsafe_trust_userspace,unsafe_trust_userspace_code_lines,unsafe_trust_userspace_density,unsafe_trust_shared,unsafe_trust_boot_chain,unsafe_trust_unclassified
2026W29,103,5497,187,45,595,756,0,0,57
2026W30,153,8579,178,92,1427,644,0,0,105
2026W31,287,22321,128,384,13657,281,0,0,142
2026W32,330,25051,131,393,16175,242,0,0,150
2026W33,360,27650,130,420,17191,244,0,0,173
2026W34,412,33586,122,383,21032,182,0,0,145
2026W35,549,39983,137,262,23799,110,0,0,175
2026W36,538,42753,125,254,23305,108,0,22,188
2026W37,538,43124,124,254,26558,95,0,22,188
2026W38,649,48046,135,382,31590,120,19,37,0
2026W39,699,50324,138,383,32221,118,19,73,16
