week,commit,date,milestones_built,milestones_partial,milestones_in_progress,milestones_removed,milestones_not_started,milestones_optional,milestones_recorded,milestones_superseded,milestones_refused,milestones_total,decisions_decided,decisions_amended,decisions_superseded,decisions_proposed,decisions_unrecorded,decisions_total,names_ratified,names_recorded,names_provisional,names_unrecorded,names_total,proposals_unnumbered,milestones_built_this_week,merged_pull_requests,kernel_code_lines,kernel_comment_lines,other_code_lines,other_comment_lines,bugs_markdown,bugs_rust,harnesses_falsified,harnesses_unfalsified,harnesses_total,unsafe_outside_arch,unsafe_inside_arch,unsafe_thread_safety,unsafe_code_lines,unsafe_density,unsafe_trust_kernel,unsafe_trust_kernel_code_lines,unsafe_trust_kernel_density,unsafe_trust_userspace,unsafe_trust_userspace_code_lines,unsafe_trust_userspace_density,unsafe_trust_shared,unsafe_trust_boot_chain,unsafe_trust_unclassified,fatal_risks_run,fatal_risks_not_run,fatal_risks_cannot_run,coverage_lines_pct,coverage_min_file_pct,human_person_weeks,lane_tokens,lane_wall_clock_hours,price_per_mtok_at_date,cash_spend
2026W29,a80e5182d54c,2026-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,16,0,10,0,4882,3413,3818,1833,0,0,0,0,0,171,34,7,7508,227,103,5497,187,45,595,756,0,0,57,0,0,0,,,1.0,,,,0.00
2026W30,aef018cdaa3a,2026-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,40,0,8,0,7803,5089,6925,3185,0,0,0,43,43,311,39,11,12776,243,153,8579,178,92,1427,644,0,0,105,0,0,0,92.4,,1.0,,,,0.00
2026W31,190268d086f0,2026-08-02,26,9,1,0,16,2,2,0,0,56,0,0,0,0,58,58,0,0,0,0,119,0,21,8,19481,12593,39488,21450,35,9,0,107,107,699,114,15,50468,138,287,22321,128,384,13657,281,0,0,142,0,0,0,91.0,,1.0,,,,0.00
2026W32,f6fd097488b1,2026-08-05,63,10,7,0,35,2,2,0,0,119,56,11,2,10,0,79,72,10,0,46,135,0,31,116,21870,15022,49901,29463,59,30,0,110,110,742,131,15,60941,121,330,25051,131,393,16175,242,0,0,150,0,0,0,93.8,,1.0,,,,0.00
2026W33,60698aa1a594,2026-08-16,73,14,6,0,32,2,2,0,0,129,74,12,2,4,0,92,74,11,1,59,152,0,9,110,24272,17431,61110,34433,95,46,0,119,119,817,136,17,73129,111,360,27650,130,420,17191,244,0,0,173,0,0,0,93.6,,1.0,,,,471.81
2026W34,132f6ad08ade,2026-08-23,97,17,0,0,43,2,2,0,0,161,96,13,3,8,0,120,100,8,9,58,175,0,18,189,27471,20419,72329,47324,155,78,0,131,131,799,141,20,85476,93,412,33586,122,383,21032,182,0,0,145,0,0,0,94.2,,1.0,5531591696,110.2,0.468,0.00
2026W35,685900ec6bf5,2026-08-30,103,20,0,0,62,2,2,0,0,189,113,15,3,2,0,133,101,9,18,60,188,0,8,139,33396,26607,78339,53638,174,116,0,143,143,738,248,23,94618,77,549,39983,137,262,23799,110,0,0,175,0,0,0,94.4,,1.0,8172145276,130.7,0.299,0.00
2026W36,d0b254c5a5e6,2026-09-06,150,29,0,2,76,2,6,0,0,265,123,17,3,4,0,147,104,37,63,0,204,74,49,180,35909,30563,78160,56776,299,142,39,112,151,738,264,23,94855,77,538,42753,125,254,23305,108,0,22,188,5,0,0,94.4,,1.0,3596735013,132.8,0.675,0.00
2026W37,5cd67cd3f193,2026-09-13,160,29,0,2,84,2,6,0,0,283,124,18,3,5,0,150,126,39,41,0,206,83,13,65,35947,30817,78864,57578,321,142,39,112,151,738,264,23,95555,77,538,43124,124,254,26558,95,0,22,188,4,0,0,94.7,,1.0,331113121,12.2,0.776,200.00
2026W38,8ea9b9f0fa18,2026-09-20,228,31,0,3,196,2,6,7,42,515,141,19,3,38,0,201,153,27,51,1,232,2,64,172,39260,35015,87656,64199,397,180,61,117,178,799,294,23,105485,75,649,48046,135,382,31590,120,19,37,0,5,0,0,94.7,,1.0,4206571294,125.8,0.707,0.00
2026W39,f454a9ca6a50,2026-09-23,247,35,0,3,222,2,6,8,43,566,147,19,3,39,0,208,155,27,62,1,245,2,17,117,41394,38019,92914,68529,449,203,65,115,180,870,315,23,111005,78,699,50295,138,383,32198,118,19,62,16,6,2,1,95.2,84.0,1.0,506140600,12.0,0.439,0.00
